,f0_,image,scanner,scanner_version,scanner_db_version,time,low_cve_cnt,med_cve_cnt,high_cve_cnt,crit_cve_cnt,unknown_cve_cnt,tot_cve_cnt,digest
0,56,cgr.dev/chainguard/nginx:latest,grype,0.74.5,sha256:8afc83bec5b73d91c7eaa82234138a51f94941fdcadc88c9dd8676ab35f0fbfa,2024-02-10,0,0,0,0,0,0,sha256:5b3a76533b2a6bac1b836fb72c39de1673b03c65043d8b1cfbf9c3b0e8266b67
1,194,cgr.dev/chainguard/php:latest,grype,0.74.5,sha256:8afc83bec5b73d91c7eaa82234138a51f94941fdcadc88c9dd8676ab35f0fbfa,2024-02-10,0,2,0,0,0,2,sha256:d807f7ee43e36057da55c35d2d1699f497294375929db0b88b2d6ded4cc8e35f
2,225,golang:latest,grype,0.74.5,sha256:8afc83bec5b73d91c7eaa82234138a51f94941fdcadc88c9dd8676ab35f0fbfa,2024-02-10,9,84,39,1,8,141,sha256:ef61a20960397f4d44b0e729298bf02327ca94f1519239ddc6d91689615b1367
3,380,nginx:latest,grype,0.74.5,sha256:8afc83bec5b73d91c7eaa82234138a51f94941fdcadc88c9dd8676ab35f0fbfa,2024-02-10,4,28,16,2,8,58,sha256:84c52dfd55c467e12ef85cad6a252c0990564f03c4850799bf41dd738738691f
4,444,php:latest,grype,0.74.5,sha256:8afc83bec5b73d91c7eaa82234138a51f94941fdcadc88c9dd8676ab35f0fbfa,2024-02-10,5,81,27,1,9,123,sha256:fc30b665b620e6c0094cca72259ebf16bea4874719c792aba1c87aacb08f1e29
5,516,cgr.dev/chainguard/go:latest,grype,0.74.5,sha256:8afc83bec5b73d91c7eaa82234138a51f94941fdcadc88c9dd8676ab35f0fbfa,2024-02-10,0,1,0,0,0,1,sha256:01bd64717a5b872939b683399a27e2493ea9a5061c84c27a4c99c90fb17179d7
6,605,nginx:latest,grype,0.74.5,sha256:fb079c78efd10592b2c5ae284e24ef0dcbf684a0f033606d1989c047c5e5c3ab,2024-02-11,4,29,16,2,8,59,sha256:84c52dfd55c467e12ef85cad6a252c0990564f03c4850799bf41dd738738691f
7,813,php:latest,grype,0.74.5,sha256:fb079c78efd10592b2c5ae284e24ef0dcbf684a0f033606d1989c047c5e5c3ab,2024-02-11,4,83,28,1,9,125,sha256:fc30b665b620e6c0094cca72259ebf16bea4874719c792aba1c87aacb08f1e29
8,821,cgr.dev/chainguard/nginx:latest,grype,0.74.5,sha256:fb079c78efd10592b2c5ae284e24ef0dcbf684a0f033606d1989c047c5e5c3ab,2024-02-11,0,0,0,0,0,0,sha256:5b3a76533b2a6bac1b836fb72c39de1673b03c65043d8b1cfbf9c3b0e8266b67
9,898,cgr.dev/chainguard/php:latest,grype,0.74.5,sha256:fb079c78efd10592b2c5ae284e24ef0dcbf684a0f033606d1989c047c5e5c3ab,2024-02-11,0,0,0,0,0,0,sha256:d807f7ee43e36057da55c35d2d1699f497294375929db0b88b2d6ded4cc8e35f
