image,scanner,time,low_cve_cnt,med_cve_cnt,high_cve_cnt,crit_cve_cnt,unknown_cve_cnt,tot_cve_cnt,digest
cgr.dev/chainguard/go:latest,trivy,2022-09-14 14:39:07,0,0,0,0,0,0,sha256:efddab21710e500ee2bbffffbf7a7eae3a3e1babab531fb74c615747f3096e9b
cgr.dev/chainguard/nginx:latest,trivy,2022-09-14 14:39:30,0,0,0,0,0,0,sha256:c7c957d3663f7e074f05f841a42cd5ed9c776ebecf934c58316484003c5339ee
cgr.dev/chainguard/php:latest,trivy,2022-09-14 14:39:32,0,0,0,0,0,0,sha256:85f2f812f84bcff087f6877dedc09213f66d72e8125f19f552e428509bf7e320
golang:latest,trivy,2022-09-14 14:39:53,275,42,50,9,0,376,sha256:2d17ffd12a2cdb25d4a633ad25f8dc29608ed84f31b3b983427d825280427095
nginx:latest,trivy,2022-09-14 14:40:06,93,15,13,1,0,122,sha256:0b970013351304af46f322da1263516b188318682b2ab1091862497591189ff1
php:latest,trivy,2022-09-14 14:40:13,261,30,31,1,0,323,sha256:93e675294f2d4884625771a85e61f5c3be3622b1686516fb1de8d1e862f742d5
cgr.dev/chainguard/go:latest,trivy,2022-09-13 14:38:36,0,0,0,0,0,0,sha256:433cc4aafaffa29f7c7e497658a8db01f4902d88a8a7eaebc2ddfae20c5618bc
cgr.dev/chainguard/nginx:latest,trivy,2022-09-13 14:39:00,0,0,0,0,0,0,sha256:58765ffd6b8d01a5159b143b6a38efa6fb0a06f4f0e06659588aedd45a2c72cd
cgr.dev/chainguard/php:latest,trivy,2022-09-13 14:39:02,0,0,0,0,0,0,sha256:8dcdd2b3f8e7ee615838714a1223574ff3b1995096b488b7916eb52365e7a86e
golang:latest,trivy,2022-09-13 14:39:22,278,46,56,12,1,393,sha256:4eb9ffc8fa980d304aa8d24e00142470538be4cd459717a71495ea11467df124
nginx:latest,trivy,2022-09-13 14:39:35,93,15,13,1,0,122,sha256:2888a97f7c7d498bbcc47ede1ad0f6ced07d72dfd181071dde051863f1f79d7b
php:latest,trivy,2022-09-13 14:39:41,261,29,31,1,1,323,sha256:03af30cced0c5662ada5891d3c08823603c621598b70c1c8bda7b820dcdbc63f
cgr.dev/chainguard/go:latest,trivy,2022-09-12 14:38:52,0,0,0,0,0,0,sha256:bde801f89091c0e915b0cb35aa72410e321b3a6f99142496d5ea91e0ebd59ce4
cgr.dev/chainguard/nginx:latest,trivy,2022-09-12 14:39:19,0,0,0,0,0,0,sha256:d08d864569e20105bed1d4f58b852ea3d810e7d26ec0280011dcae1135421f3f
cgr.dev/chainguard/php:latest,trivy,2022-09-12 14:39:22,0,0,0,0,0,0,sha256:c8b5c9856ad65c07298119d56b17e3642758ddc04e399263ebe71d9fa5831620
golang:latest,trivy,2022-09-12 14:39:48,278,46,56,12,1,393,sha256:4c8f4b8402a868dc6fb3902c97032b971d0179fbe007be408b455697e98d194a
nginx:latest,trivy,2022-09-12 14:40:04,95,15,16,4,0,130,sha256:b95a99feebf7797479e0c5eb5ec0bdfa5d9f504bc94da550c2f58e839ea6914f
php:latest,trivy,2022-09-12 14:40:13,263,34,37,3,1,338,sha256:3662ba7ae93eb3765a30da35df039027b61ba5f6fb6e984e50c766d850339ebd
cgr.dev/chainguard/go:latest,trivy,2022-09-11 14:34:58,0,0,0,0,0,0,sha256:6f1111e4ed2a9ba4bd0850accd05b48c23ca11a9de0702228b8e4a621fa356f8
